 ,2016
"052 Clonin, Co. Laois",28642
"053 Coolrain, Co. Laois",28846
"054 Dangans, Co. Laois",22925
"055 Emo, Co. Laois",34072
"056 Garrymore, Co. Laois",45746
"057 Graigue, Co. Laois",33839
"058 Jamestown, Co. Laois",30784
"059 Kilcolmanbane, Co. Laois",33880
"060 Kilmullen, Co. Laois",32589
"061 Kilmurry, Co. Laois",26174
"062 Lacka, Co. Laois",30047
"063 Marymount, Co. Laois",26705
"064 Meelick, Co. Laois",27157
"065 Mountmellick Rural, Co. Laois",31766
"066 Mountmellick Urban, Co. Laois",26531
"067 Mountrath, Co. Laois",23989
"068 Nealstown, Co. Laois",..
"069 O'More's Forest, Co. Laois",32138
"070 Portarlington South, Co. Laois",26000
"071 Portlaoighise (Maryborough) Rural, Co. Laois",29541
"072 Portlaoighise (Maryborough) Urban, Co. Laois",23897
"073 Rearymore, Co. Laois",..
"074 Rosenallis, Co. Laois",24245
"075 Sallyford, Co. Laois",31392
"076 Shaen, Co. Laois",30766
"077 Tinnahinch, Co. Laois",32996
"078 Trumra, Co. Laois",29740
"079 Ballybrophy, Co. Laois",24362
"080 Borris-in-Ossory, Co. Laois",26029
"081 Clonmore, Co. Laois",22962
"082 Errill, Co. Laois",23329
"083 Kyle, Co. Laois",..
"084 Kyle South, Co. Laois",24294
"085 Moneenalassa, Co. Laois",27617
"086 Moneymore, Co. Laois",30691
"087 Rathsaran, Co. Laois",26321
"088 Ardough, Co. Laois",30459
"089 Arless, Co. Laois",29591
"090 Ballickmoyler, Co. Laois",28500
"091 Ballylehane, Co. Laois",26039
"092 Doonane, Co. Laois",26216
"093 Farnans, Co. Laois",24767
"094 Graigue Rural, Co. Laois",26660
"095 Newtown, Co. Laois",33213
"096 Rossmore, Co. Laois",33575
"097 Shrule, Co. Laois",26779
"098 Turra, Co. Laois",30121
"001 Longford No. 1 Urban, Co. Longford",19787
"002 Longford No. 2 Urban, Co. Longford",29619
"003 Agharra, Co. Longford",34791
"004 Ballymahon, Co. Longford",24973
"005 Cashel East, Co. Longford",30520
"006 Cashel West, Co. Longford",29266
"007 Doory, Co. Longford",27549
"008 Forgney, Co. Longford",31270
"009 Foxhall, Co. Longford",25403
"010 Kilcommock, Co. Longford",28569
"011 Kilglass, Co. Longford",24862
"012 Ledwithstown, Co. Longford",30458
"013 Abbeylara, Co. Longford",22489
"014 Ballinalee, Co. Longford",26838
"015 Ballymuigh, Co. Longford",31762
"016 Bunlahy, Co. Longford",35312
"017 Columbkille, Co. Longford",23703
"018 Coolamber, Co. Longford",28499
"019 Creevy, Co. Longford",23538
"020 Crosagstown, Co. Longford",..
"021 Currygrane, Co. Longford",..
"022 Dalystown, Co. Longford",..
"023 Drummeel, Co. Longford",..
999 Firry / Newgrove,24662
"025 Gelshagh, Co. Longford",30794
"026 Granard Rural, Co. Longford",31595
"027 Granard Urban, Co. Longford",22184
"028 Knockanbaun, Co. Longford",..
"029 Lislea, Co. Longford",..
"030 Meathas Truim, Co. Longford",22842
"031 Milltown, Co. Longford",29636
"032 Moatfarrell, Co. Longford",29424
"033 Moyne, Co. Longford",25677
"034 Mullanalaghta, Co. Longford",29538
"036 Sonnagh, Co. Longford",30194
"037 Aghaboy, Co. Longford",29679
"038 Ardagh East, Co. Longford",33283
"039 Ardagh West, Co. Longford",29974
"040 Ballinamuck East, Co. Longford",29163
"041 Ballinamuck West, Co. Longford",21418
"042 Breanrisk, Co. Longford",26361
"043 Caldragh, Co. Longford",30433
"044 Cloondara, Co. Longford",32247
"045 Cloonee, Co. Longford",28759
"046 Corboy, Co. Longford",26858
"047 Drumgort, Co. Longford",27568
"048 Drumlish, Co. Longford",24557
"049 Killashee, Co. Longford",27206
"050 Killoe, Co. Longford",24251
"051 Longford Rural (Part Urban), Co. Longford",24354
"052 Mountdavis, Co. Longford",33269
"053 Moydow, Co. Longford",28597
"054 Newtown Forbes, Co. Longford",26443
"055 Rathcline, Co. Longford",27494
"001 Fair Gate, Co. Louth",24540
"002 St. Laurence Gate, Co. Louth",25756
"003 West Gate, Co. Louth",24924
"004 Dundalk Urban No. 1, Co. Louth",25200
"005 Dundalk Urban No. 2, Co. Louth",21000
"006 Dundalk Urban No. 3, Co. Louth",25750
"007 Dundalk Urban No. 4, Co. Louth",26748
"008 Ardee Rural, Co. Louth",29239
"009 Ardee Urban, Co. Louth",26256
"010 Castlebellingham, Co. Louth",29430
"011 Clonkeen, Co. Louth",28017
"012 Collon, Co. Louth",28336
"013 Dromin, Co. Louth",33201
"014 Dromiskin, Co. Louth",28395
"015 Drumcar, Co. Louth",32859
"016 Dunleer, Co. Louth",27056
"017 Stabannan, Co. Louth",31274
"018 Tallanstown, Co. Louth",24206
"019 Ballymascanlan, Co. Louth",28777
"020 Barronstown, Co. Louth",29414
"021 Carlingford, Co. Louth",23859
"022 Castlering, Co. Louth",31056
"023 Castletown (Part Urban), Co. Louth",25110
"024 Creggan Upper, Co. Louth",26761
"025 Darver, Co. Louth",30959
"026 Drummullagh, Co. Louth",23653
"027 Dundalk Rural (Part Urban), Co. Louth",26000
"028 Faughart, Co. Louth",26121
"029 Greenore, Co. Louth",29128
"030 Haggardstown (Part Urban), Co. Louth",33092
"031 Jenkinstown, Co. Louth",30830
"032 Killanny, Co. Louth",27763
"033 Louth, Co. Louth",28539
"034 Mansfieldstown, Co. Louth",29772
"035 Rathcor, Co. Louth",28380
"036 Ravensdale, Co. Louth",28013
"037 Clogher, Co. Louth",27428
"038 Dysart, Co. Louth",32616
"039 Monasterboice, Co. Louth",33465
"040 Mullary, Co. Louth",33311
"041 St. Peter's (Part Urban), Co. Louth",26277
"042 Termonfeckin, Co. Louth",32379
"047 St. Mary's (Part Urban), Co. Louth",26105
"001 Ceannanus Mór (Kells) Urban, Co. Meath",21413
"002 Navan Urban, Co. Meath",21580
"003 Trim Urban, Co. Meath",20800
"004 Drumcondra, Co. Meath",26335
"005 Grangegeeth, Co. Meath",24773
"006 Killary, Co. Meath",28124
"007 Culmullin, Co. Meath",33057
"008 Donaghmore, Co. Meath",28573
"009 Dunboyne, Co. Meath",33533
"010 Dunshaughlin, Co. Meath",31931
"011 Kilbrew, Co. Meath",30019
"012 Killeen, Co. Meath",29868
"013 Kilmessan, Co. Meath",29645
"014 Kilmore, Co. Meath",31867
"015 Rathfeigh, Co. Meath",32170
"016 Ratoath, Co. Meath",35167
"017 Rodanstown, Co. Meath",35535
"018 Skreen, Co. Meath",32661
"019 Ardagh, Co. Meath",27825
"020 Ballinlough, Co. Meath",22699
"021 Balrathboyne, Co. Meath",27852
"022 Boherboy, Co. Meath",28525
"023 Burry, Co. Meath",32949
"024 Carrickleck, Co. Meath",30933
"025 Castlekeeran, Co. Meath",25729
"026 Ceannanus Mór (Kells) Rural (Part Urban), Co. Meath",26660
"027 Cruicetown, Co. Meath",29432
"028 Girley, Co. Meath",22218
"029 Kilmainham, Co. Meath",27214
"030 Kilskeer, Co. Meath",27471
"031 Loughan, Co. Meath",30243
"032 Maperath, Co. Meath",30037
"033 Martry, Co. Meath",30655
"034 Moybolgue, Co. Meath",25810
"035 Moynalty, Co. Meath",27433
"036 Newcastle, Co. Meath",32020
"037 Newtown, Co. Meath",25001
"038 Nobber, Co. Meath",25414
"039 Posseckstown, Co. Meath",25116
"040 Staholmog, Co. Meath",25286
"041 Tailtin, Co. Meath",24657
"042 Trohanny, Co. Meath",26174
"043 Ardcath, Co. Meath",28318
"044 Duleek, Co. Meath",26785
"045 Julianstown, Co. Meath",27825
"046 Mellifont, Co. Meath",24147
"047 St. Mary's (Part Rural), Co. Meath",29954
"048 Stamullin, Co. Meath",30308
"049 Ardbraccan, Co. Meath",29718
"050 Ardmulchan, Co. Meath",33358
"051 Bective, Co. Meath",26280
"052 Castletown, Co. Meath",25259
"053 Domhnach Phádraig, Co. Meath",32031
"054 Kentstown, Co. Meath",29281
"055 Navan Rural (Part Urban), Co. Meath",25933
"056 Painestown, Co. Meath",30151
"057 Rathkenny, Co. Meath",32380
"058 Slane, Co. Meath",27834
"059 Stackallan, Co. Meath",31093
"060 Tara, Co. Meath",30531
"061 Crossakeel, Co. Meath",28267
"062 Crosskeys, Co. Meath",28240
"063 Killallon, Co. Meath",28815
"064 Killeagh, Co. Meath",25027
"065 Knocklough, Co. Meath",25368
"066 Moylagh, Co. Meath",26860
"067 Oldcastle, Co. Meath",22936
"068 Stonefield, Co. Meath",23637
"069 Ardnamullan, Co. Meath",26130
"070 Baile Átha Buí, Co. Meath",23310
"071 Ballyboggan, Co. Meath",24607
"072 Ballyconnell, Co. Meath",26354
"073 Castlejordan, Co. Meath",23916
"074 Castlerickard, Co. Meath",26010
"075 Cloghbrack, Co. Meath",25695
"076 Clonmacduff, Co. Meath",32580
"077 Gallow, Co. Meath",32175
"078 Galtrim, Co. Meath",29489
"079 Grennanstown, Co. Meath",28187
"080 Hill of Down, Co. Meath",23621
"081 Innfield, Co. Meath",24807
"082 Cill Bhríde, Co. Meath",36416
"083 Kilcooly, Co. Meath",34936
"084 Kildalky, Co. Meath",29932
"085 Killaconnigan, Co. Meath",20800
"086 Killyon, Co. Meath",24709
"087 Laracor, Co. Meath",28460
"088 Rahinstown, Co. Meath",23332
"089 Rathmolyon, Co. Meath",30376
"090 An Ráth Mhór, Co. Meath",27335
"091 Summerhill, Co. Meath",24948
"092 Trim Rural (Part Urban), Co. Meath",27631
"001 Birr Urban, Co. Offaly",24448
"002 Tullamore Urban, Co. Offaly",26520
"003 Ballycumber, Co. Offaly",26591
"004 Banagher, Co. Offaly",25224
"005 Birr Rural, Co. Offaly",25867
"006 Broughal, Co. Offaly",..
"007 Cloghan, Co. Offaly",25660
"008 Clonmacnoise, Co. Offaly",29809
"009 Derrinboy, Co. Offaly",30259
"010 Derryad, Co. Offaly",30427
"011 Doon, Co. Offaly",33567
"012 Dromoyle, Co. Offaly",26382
"013 Drumcullen, Co. Offaly",31738
"014 Eglish, Co. Offaly",..
"015 Ferbane, Co. Offaly",27560
"016 Gallen, Co. Offaly",27210
"017 Hinds, Co. Offaly",29220
"018 Huntston, Co. Offaly",33819
"019 Kilcolman, Co. Offaly",28518
"020 Kilcormac, Co. Offaly",25364
"021 Killyon, Co. Offaly",31961
"022 Kinnitty, Co. Offaly",23036
"023 Knockbarron, Co. Offaly",30647
"024 Lea, Co. Offaly",28719
"025 Letter, Co. Offaly",..
"026 Lumcloon, Co. Offaly",28748
"027 Lusmagh, Co. Offaly",28737
"028 Mounterin, Co. Offaly",34768
"029 Moyclare, Co. Offaly",30756
"030 Seirkieran, Co. Offaly",24604
"031 Shannonbridge, Co. Offaly",31512
"032 Shannonharbour, Co. Offaly",32045
"033 Srah, Co. Offaly",28893
"035 Ballyburly, Co. Offaly",25418
"036 Ballymacwilliam, Co. Offaly",31348
"037 Bracknagh, Co. Offaly",28144
"038 Clonbulloge, Co. Offaly",26652
"039 Clonmore, Co. Offaly",19123
"040 Croghan, Co. Offaly",30652
"041 Edenderry Rural, Co. Offaly",29497
"042 Edenderry Urban, Co. Offaly",22871
999 Esker / Ballaghassaan,31261
"044 Knockdrin, Co. Offaly",26270
"045 Monasteroris, Co. Offaly",25767
"046 Aghancon, Co. Offaly",24865
"047 Ballincor, Co. Offaly",21327
"048 Barna, Co. Offaly",..
"049 Cangort, Co. Offaly",..
"050 Cullenwaine, Co. Offaly",25170
"051 Dunkerrin, Co. Offaly",26758
"052 Ettagh, Co. Offaly",28812
"053 Gorteen, Co. Offaly",26364
"054 Mountheaton, Co. Offaly",27254
"055 Roscomroe, Co. Offaly",..
"056 Shinrone, Co. Offaly",21371
"057 Templeharry, Co. Offaly",23031
"058 Tulla, Co. Offaly",..
"059 Ballycommon, Co. Offaly",31811
"060 Ballyshear, Co. Offaly",27992
"061 Bawn, Co. Offaly",25954
"062 Cappancur, Co. Offaly",31733
"063 Clara, Co. Offaly",26964
"064 Clonygowan, Co. Offaly",29757
"065 Daingean, Co. Offaly",22894
"066 Derrycooley, Co. Offaly",23631
"067 Durrow, Co. Offaly",34179
"068 Geashill, Co. Offaly",29854
"069 Gorteen, Co. Offaly",34575
"070 Hammerlane, Co. Offaly",26776
"071 Kilclonfert, Co. Offaly",32422
"072 Kilcumreragh, Co. Offaly",30458
"073 Killeigh, Co. Offaly",31864
"074 Killooly, Co. Offaly",34273
"075 Killoughy, Co. Offaly",28757
"076 Mountbriscoe, Co. Offaly",27458
"077 O'Dempsey, Co. Offaly",29593
"078 Portarlington North, Co. Offaly",23301
"079 Rahan, Co. Offaly",29949
"080 Raheenakeeran, Co. Offaly",25901
"081 Rathfeston, Co. Offaly",25987
"082 Rathrobin, Co. Offaly",21640
"083 Screggan, Co. Offaly",31058
"084 Silverbrook, Co. Offaly",34245
"085 Tinamuck, Co. Offaly",31463
"086 Tinnycross, Co. Offaly",31648
"087 Tullamore Rural, Co. Offaly",29493
"001 Athlone East Urban, Co. Westmeath",25367
"002 Athlone West Urban, Co. Westmeath",24079
"003 Athlone East Rural (Part Urban), Co. Westmeath",27839
"004 Auburn, Co. Westmeath",34484
"005 Ballybroder, Co. Westmeath",23920
"006 Bellanalack, Co. Westmeath",29720
"007 Carn, Co. Westmeath",30000
"008 Castledaly, Co. Westmeath",30749
"009 Glassan, Co. Westmeath",37210
"010 Kilcumreragh, Co. Westmeath",28679
"011 Killinure, Co. Westmeath",34330
"012 Moate, Co. Westmeath",27791
"013 Mount Temple, Co. Westmeath",30956
"014 Moydrum (Part Urban), Co. Westmeath",35267
"015 Muckanagh, Co. Westmeath",34129
"016 Tubbrit, Co. Westmeath",31229
"017 Umma, Co. Westmeath",30858
"018 Ardnagragh, Co. Westmeath",25948
"019 Ballymore, Co. Westmeath",28042
"020 Doonis, Co. Westmeath",31671
"021 Drumraney, Co. Westmeath",29132
"022 Noughaval, Co. Westmeath",33661
"023 Piercetown, Co. Westmeath",..
"024 Templepatrick, Co. Westmeath",29313
"025 Winetown, Co. Westmeath",..
"026 Boherquill, Co. Westmeath",24377
"027 Coole, Co. Westmeath",33415
"028 Coolure, Co. Westmeath",26277
"029 Finnea, Co. Westmeath",20485
"030 Glore, Co. Westmeath",22740
"031 Knockarrow, Co. Westmeath",..
"032 Rathowen, Co. Westmeath",22441
"033 Street, Co. Westmeath",27109
"034 Ballinlough, Co. Westmeath",23447
"035 Ballyhealy, Co. Westmeath",22968
"036 Ballynaskeagh, Co. Westmeath",24339
"037 Bracklin, Co. Westmeath",31880
"038 Clonarney, Co. Westmeath",30839
"039 Collinstown, Co. Westmeath",29343
"040 Copperalley, Co. Westmeath",31835
"041 Delvin, Co. Westmeath",28037
"042 Faughalstown, Co. Westmeath",23111
"043 Fore East, Co. Westmeath",29414
"044 Fore West, Co. Westmeath",32050
"045 Hilltown, Co. Westmeath",31249
"046 Kilcumny, Co. Westmeath",28492
"047 Killua, Co. Westmeath",23314
"048 Killulagh, Co. Westmeath",31097
"049 Kilpatrick, Co. Westmeath",30981
"050 Kinturk, Co. Westmeath",26639
"051 Riverdale, Co. Westmeath",30635
"052 Rosmead, Co. Westmeath",29349
"053 Ardnaglew, Co. Westmeath",27635
999 Ballinalack / Lackan,30767
"055 Ballykilmore, Co. Westmeath",26679
"056 Ballymorin, Co. Westmeath",31682
"057 Ballynagore, Co. Westmeath",30140
"058 Belvidere, Co. Westmeath",29717
"059 Carrick, Co. Westmeath",31709
"060 Castle, Co. Westmeath",38735
"061 Castlelost, Co. Westmeath",22074
"062 Castletown, Co. Westmeath",27856
"063 Churchtown, Co. Westmeath",33608
"064 Cloghan, Co. Westmeath",28625
"065 Clonfad, Co. Westmeath",26253
"066 Clonlost, Co. Westmeath",29235
"067 Derrymore, Co. Westmeath",34024
"068 Dysart, Co. Westmeath",23669
"069 Emper, Co. Westmeath",38797
"070 Enniscoffey, Co. Westmeath",32056
"071 Gaybrook, Co. Westmeath",29574
"072 Glenlough, Co. Westmeath",21485
"073 Greenpark, Co. Westmeath",28165
"074 Griffinstown, Co. Westmeath",28441
"075 Heathstown, Co. Westmeath",34187
"076 Hopestown, Co. Westmeath",33188
"077 Huntingdon, Co. Westmeath",28198
"078 Jamestown, Co. Westmeath",..
"079 Kilbeggan, Co. Westmeath",26073
"080 Kilbixy, Co. Westmeath",25587
"081 Killare, Co. Westmeath",24771
"082 Killucan, Co. Westmeath",24102
"083 Kinnegad, Co. Westmeath",23236
"084 Knockdrin, Co. Westmeath",32269
"086 Lauree, Co. Westmeath",30577
"087 Middleton, Co. Westmeath",32838
"088 Milltown, Co. Westmeath",21720
"089 Mullingar Rural, Co. Westmeath",27732
"090 Mullingar North Urban, Co. Westmeath",22233
"091 Mullingar South Urban, Co. Westmeath",26859
"092 Multyfarnham, Co. Westmeath",25910
"093 Newtown, Co. Westmeath",29744
"094 Owel, Co. Westmeath",34579
"095 Portloman, Co. Westmeath",30251
"096 Raharney, Co. Westmeath",24924
"097 Rahugh, Co. Westmeath",26443
"098 Rathconrath, Co. Westmeath",26462
"099 Russellstown, Co. Westmeath",30651
"100 Skeagh, Co. Westmeath",..
"101 Sonna, Co. Westmeath",26307
"102 Stonehall, Co. Westmeath",..
"103 Streamstown, Co. Westmeath",26828
"104 Taghmon, Co. Westmeath",26986
"105 Tullaghan, Co. Westmeath",30537
"106 Woodland, Co. Westmeath",25918
"001 Enniscorthy Urban, Co. Wexford",20128
"002 New Ross Urban, Co. Wexford",22370
"003 Rosbercon Urban, Co. Wexford",21333
"004 Wexford No. 1 Urban, Co. Wexford",23993
"005 Wexford No. 2 Urban, Co. Wexford",22196
"006 Wexford No. 3 Urban, Co. Wexford",22230
"007 Ballindaggan, Co. Wexford",29040
"008 Ballycarney, Co. Wexford",26644
"009 Ballyhoge, Co. Wexford",27113
"010 Ballyhuskard, Co. Wexford",29792
"011 Ballymore, Co. Wexford",24760
"012 Ballyvaldon, Co. Wexford",27490
"013 Bolaboy, Co. Wexford",29099
"014 Bree, Co. Wexford",32860
"015 Castleboro, Co. Wexford",28139
"016 Castledockrell, Co. Wexford",27184
"017 Castle Ellis, Co. Wexford",28274
"018 Castle Talbot, Co. Wexford",22909
"019 Clonroche, Co. Wexford",24658
"020 Edermine, Co. Wexford",27036
"021 Enniscorthy Rural (Part Urban), Co. Wexford",23724
"022 Ferns, Co. Wexford",20997
"023 Kilbora, Co. Wexford",27295
"024 Kilcormick, Co. Wexford",23683
"025 Killann, Co. Wexford",27136
"026 Kilmallock, Co. Wexford",29678
"027 Killoughrum, Co. Wexford",24058
"028 Kilrush, Co. Wexford",27139
"029 Kiltealy, Co. Wexford",24274
"030 Marshalstown, Co. Wexford",27738
"031 Moyacomb, Co. Wexford",29694
"032 Newtownbarry, Co. Wexford",22618
"033 Rossard, Co. Wexford",20809
"034 St. Mary's, Co. Wexford",25542
"035 The Harrow, Co. Wexford",25217
"036 The Leap, Co. Wexford",27062
"037 Tinnacross, Co. Wexford",27311
"038 Tombrack, Co. Wexford",27213
"039 Ardamine, Co. Wexford",21253
"040 Balloughter, Co. Wexford",24335
"041 Ballybeg, Co. Wexford",26525
"042 Ballycanew, Co. Wexford",20944
"043 Ballyellis, Co. Wexford",28501
"044 Ballygarrett, Co. Wexford",20928
"045 Ballylarkin, Co. Wexford",25107
"046 Ballynestragh, Co. Wexford",29068
"047 Cahore, Co. Wexford",23266
"048 Coolgreany, Co. Wexford",23501
"049 Courtown, Co. Wexford",25452
"050 Ford, Co. Wexford",19779
"051 Gorey Rural, Co. Wexford",22781
"052 Gorey Urban, Co. Wexford",22365
"053 Huntingtown, Co. Wexford",27560
"054 Kilcomb, Co. Wexford",25055
"055 Kilgorman, Co. Wexford",25974
"056 Killenagh, Co. Wexford",27880
"057 Killincooly, Co. Wexford",19161
"058 Kilnahue, Co. Wexford",26636
"059 Limerick, Co. Wexford",26257
"060 Monamolin, Co. Wexford",23254
"061 Monaseed, Co. Wexford",27591
"062 Rossminoge, Co. Wexford",26499
"063 Wells, Co. Wexford",22743
"064 Wingfield, Co. Wexford",24867
"065 Adamstown, Co. Wexford",25084
"066 Ballyanne, Co. Wexford",26400
"067 Ballyhack, Co. Wexford",24184
"068 Barrack Village, Co. Wexford",..
"069 Barronstown, Co. Wexford",29311
"070 Carnagh, Co. Wexford",26558
"071 Carrickbyrne, Co. Wexford",26794
"072 Clongeen, Co. Wexford",22560
"073 Clonleigh, Co. Wexford",23776
"074 Dunmain, Co. Wexford",31776
"075 Fethard, Co. Wexford",20766
"076 Horetown, Co. Wexford",26445
"077 Inch, Co. Wexford",22403
"078 Kilgarvan, Co. Wexford",29120
"079 Killesk, Co. Wexford",23886
"080 Kilmokea, Co. Wexford",22519
"081 Newbawn, Co. Wexford",27662
"082 New Ross Rural, Co. Wexford",26871
"083 Oldcourt, Co. Wexford",29140
"084 Old Ross, Co. Wexford",31034
"085 Rathroe, Co. Wexford",26000
"086 Rochestown, Co. Wexford",25338
"087 Templeludigan, Co. Wexford",29701
"088 Templetown, Co. Wexford",23752
"089 Tintern, Co. Wexford",24662
"090 Whitechurch, Co. Wexford",26840
"091 Whitemoor, Co. Wexford",28579
"092 Ardcavan, Co. Wexford",27920
"093 Ardcolm, Co. Wexford",25811
"094 Artramon, Co. Wexford",32200
"095 Aughwilliam, Co. Wexford",28586
"096 Ballymitty, Co. Wexford",27060
"097 Bannow, Co. Wexford",24881
"098 Bridgetown, Co. Wexford",32014
"099 Carrick, Co. Wexford",35794
"100 Drinagh, Co. Wexford",28732
"101 Duncormick, Co. Wexford",24852
"102 Forth, Co. Wexford",31751
"103 Glynn, Co. Wexford",..
"104 Harperstown, Co. Wexford",25156
"105 Harristown, Co. Wexford",27105
"106 Kilbride, Co. Wexford",..
"107 Kilcowan, Co. Wexford",24049
"108 Killag, Co. Wexford",25956
"109 Killinick, Co. Wexford",32393
"110 Killurin, Co. Wexford",32793
"111 Kilmore, Co. Wexford",25899
"112 Kilpatrick, Co. Wexford",36553
"113 Kilscoran, Co. Wexford",24243
"114 Lady's Island, Co. Wexford",19443
"115 Mayglass, Co. Wexford",32605
"116 Newcastle, Co. Wexford",27371
"117 Rathaspick, Co. Wexford",34150
"118 Rosslare, Co. Wexford",23141
"119 St. Helen's, Co. Wexford",25440
"120 Tacumshin, Co. Wexford",29729
"121 Taghmon, Co. Wexford",21886
"122 Tomhaggard, Co. Wexford",27437
"123 Wexford Rural (Part Urban), Co. Wexford",26012
"124 Whitechurch, Co. Wexford",26769
"001 Arklow No. 1 Urban, Co. Wicklow",23799
"002 Arklow No. 2 Urban, Co. Wicklow",23897
"003 Bray No. 1, Co. Wicklow",26924
"004 Bray No. 2, Co. Wicklow",29433
"005 Bray No. 3, Co. Wicklow",29326
"006 Rathmichael (Bray), Co. Wicklow",23825
"007 Wicklow Urban, Co. Wicklow",24970
"008 Ballinguile, Co. Wicklow",17315
"009 Baltinglass, Co. Wicklow",24632
"010 Blessington, Co. Wicklow",28189
"011 Burgage, Co. Wicklow",30647
"012 Donaghmore, Co. Wicklow",22096
"013 Donard, Co. Wicklow",18552
"014 Dunlavin, Co. Wicklow",21912
"015 Eadestown, Co. Wicklow",26350
"016 Hartstown, Co. Wicklow",35804
"017 Hollywood, Co. Wicklow",33343
"018 Humewood, Co. Wicklow",24763
"019 Imael North, Co. Wicklow",32688
"020 Imael South, Co. Wicklow",25856
"021 Kilbride, Co. Wicklow",31607
"022 Lackan, Co. Wicklow",25170
"023 Lugglass, Co. Wicklow",32139
"024 Rathdangan, Co. Wicklow",27986
"025 Rathsallagh, Co. Wicklow",26283
"026 Stratford, Co. Wicklow",25817
"027 Talbotstown, Co. Wicklow",26026
"028 The Grange, Co. Wicklow",28389
"029 Tober, Co. Wicklow",28683
"030 Togher, Co. Wicklow",30857
"031 Tuckmill, Co. Wicklow",29215
"032 Delgany, Co. Wicklow",31496
"033 Enniskerry, Co. Wicklow",33553
"034 Greystones, Co. Wicklow",31800
"035 Kilmacanoge (Part Urban), Co. Wicklow",29995
"036 Powerscourt, Co. Wicklow",35326
"037 Altidore, Co. Wicklow",31696
"038 Arklow Rural, Co. Wicklow",30230
"039 Aughrim, Co. Wicklow",24665
"040 Avoca, Co. Wicklow",26592
"041 Ballinaclash, Co. Wicklow",26598
"042 Ballinacor, Co. Wicklow",28405
"043 Ballinderry, Co. Wicklow",34002
"044 Ballyarthur, Co. Wicklow",23010
"045 Ballycullen, Co. Wicklow",24994
"046 Brockagh, Co. Wicklow",21326
"047 Calary, Co. Wicklow",38241
"048 Cronebane, Co. Wicklow",25638
"049 Dunganstown East, Co. Wicklow",27077
"050 Dunganstown South, Co. Wicklow",25308
"051 Dunganstown West, Co. Wicklow",33095
"052 Ennereilly, Co. Wicklow",29770
"053 Glendalough, Co. Wicklow",25402
"054 Glenealy, Co. Wicklow",25970
"055 Kilbride, Co. Wicklow",29907
"056 Kilcoole, Co. Wicklow",29947
"057 Killiskey, Co. Wicklow",26775
"058 Knockrath, Co. Wicklow",17393
"059 Moneystown, Co. Wicklow",28477
"060 Newcastle Lower, Co. Wicklow",29011
"061 Newcastle Upper, Co. Wicklow",27018
"062 Oldtown, Co. Wicklow",32336
"063 Rathdrum, Co. Wicklow",28548
"064 Togher, Co. Wicklow",26728
"065 Trooperstown, Co. Wicklow",31794
"066 Wicklow Rural, Co. Wicklow",28327
"067 Aghowle, Co. Wicklow",24570
"068 Ballingate, Co. Wicklow",22196
"069 Ballinglen, Co. Wicklow",26796
"070 Ballybeg, Co. Wicklow",..
"071 Carnew, Co. Wicklow",25322
"072 Coolattin, Co. Wicklow",29425
"073 Coolballintaggart, Co. Wicklow",21965
"074 Coolboy, Co. Wicklow",26032
"075 Cronelea, Co. Wicklow",25257
"076 Kilballyowen, Co. Wicklow",27513
"077 Killinure, Co. Wicklow",24908
"078 Kilpipe, Co. Wicklow",26781
"079 Money, Co. Wicklow",..
"080 Rath, Co. Wicklow",26023
"081 Shillelagh, Co. Wicklow",29312
"082 Tinahely, Co. Wicklow",22906
"001 Ennis No. 1 Urban, Co. Clare",24046
"002 Ennis No. 2 Urban, Co. Clare",19909
"003 Ennis No. 3 Urban, Co. Clare",..
"004 Ennis No. 4 Urban, Co. Clare",23544
"005 Kilrush Urban, Co. Clare",22193
"006 Abbey, Co. Clare",23895
"007 Carran, Co. Clare",..
"009 Derreen, Co. Clare",..
"010 Drumcreehy, Co. Clare",23306
"011 Gleninagh, Co. Clare",..
"012 Lisdoonvarna, Co. Clare",17106
"013 Mountelva, Co. Clare",..
999 Noughaval / Castletown,..
"015 Oughtmama, Co. Clare",23126
"016 Rathborney, Co. Clare",..
"018 Boston, Co. Clare",26035
"019 Corrofin, Co. Clare",28346
999 Glenroe / Ballyeighter,26568
"021 Killinaboy, Co. Clare",26160
"022 Kiltoraght, Co. Clare",21475
"023 Muckanagh, Co. Clare",24808
"024 Rath, Co. Clare",31181
"025 Ruan, Co. Clare",33510
"026 Clareabbey (Part Urban), Co. Clare",32744
"027 Clenagh, Co. Clare",27328
"028 Crusheen, Co. Clare",34406
"029 Doora (Part Urban), Co. Clare",36349
"030 Drumline, Co. Clare",37202
"031 Dysert, Co. Clare",25854
"032 Ennis Rural (Part Urban), Co. Clare",31016
"033 Furroor, Co. Clare",30317
"034 Kilcloher, Co. Clare",32946
"035 Killanniv, Co. Clare",29995
"036 Killone, Co. Clare",33835
"037 Kilnamona, Co. Clare",36451
"038 Kilraghtis, Co. Clare",37211
"039 Kinturk, Co. Clare",29909
"040 Newmarket, Co. Clare",29531
"041 Sixmilebridge, Co. Clare",31895
"042 Spancelhill (Part Urban), Co. Clare",37134
"043 Templemaley, Co. Clare",34041
"044 Tomfinlough, Co. Clare",37432
"045 Urlan, Co. Clare",30451
"046 Annagh, Co. Clare",25503
"047 Ballagh, Co. Clare",28821
"048 Ballyea, Co. Clare",28364
